,Unnamed: 0,country,description,wine_name,province,region,sub_region,grape,vineyard,title,normalized_descriptors
267454,116519,Spain,"There's a fine line between a fresh Godello and one that's starting to turn. This one may soon fall into the latter category, but before it gets there look for peppery white-fruit aromas and flavors. Tastes of honeyed melon are  topped with cracked black pepper. Turns a bit creamy and sweet on the finish, another indication that it is starting to age.",Sobre Lias,Northern Spain,Valdeorras,,Godello,Guitián,Guitián 2006 Sobre Lias Godello (Valdeorras),"['fresh', 'pepper', 'white_fruit', 'honey', 'melon', 'pepper', 'cream', 'sweet']"
193154,42219,US,"Aromas of white flowers, tangerine, honey and ginger are vibrant on this cryo-frozen wine. The flavors are sweet, tapering toward the finish.",Ice,Washington,Yakima Valley,Columbia Valley,Riesling,Frost Bitten,Frost Bitten 2014 Ice Riesling (Yakima Valley),"['white_flower', 'tangerine', 'honey', 'ginger', 'vibrant', 'sweet']"
195209,44274,US,"Made by David Low of Anthill Farms in extremely small quantities, this is a new brand devoted to light-bodied wines from fine, cool-climate sites. Tight in dried cranberry and cherry, this is indeed a light and subtle undertaking, dusty and perfumed in rosewater fragrance.",English Hill,California,Sonoma Coast,Sonoma,Pinot Noir,The Withers Winery,The Withers Winery 2013 English Hill Pinot Noir (Sonoma Coast),"['light_bodied', 'tight', 'dry', 'cranberry', 'cherry', 'light_bodied', 'dust', 'perfumed', 'rosewater']"
229730,78795,US,"Made in sizable quantities, this impressive wine should please a wide range of palates in its mix of restraint and hearty structure. Thick red berry and currant dance around integrated oak and leathery tannin, building richness on the palate as it opens in the glass.",,California,Napa Valley,Napa,Cabernet Sauvignon,Frank Family,Frank Family 2013 Cabernet Sauvignon (Napa Valley),"['restrained', 'hearty', 'thick', 'berry', 'currant', 'oak', 'leather', 'rich']"
152279,1344,Italy,"Spanish broom, yellow stone fruit and citrus zest aromas take shape in the glass. Lively acidity carries juicy nectarine, intense lemon, thyme, pineapple and Mediterranean herb flavors into the round, juicy finish.",della Timpa,Sicily & Sardinia,Sicilia,,Grillo,Feudo Montoni,Feudo Montoni 2016 della Timpa Grillo (Sicilia),"['fruit', 'citrus_peel', 'juicy', 'nectarine', 'lemon', 'thyme', 'pineapple', 'meditteranean_herbs', 'round', 'juicy']"
189736,38801,US,"This intriguing wine features herb, lemon twist, tobacco and spice aromas. The blue fruit flavors are lush in feel, with fine-grained tannins.",Limited Edition Canyon Vineyard Ranch,Washington,Yakima Valley,Columbia Valley,Tempranillo,Canoe Ridge,Canoe Ridge 2013 Limited Edition Canyon Vineyard Ranch Tempranillo (Yakima Valley),"['herb', 'lemon', 'tobacco', 'spice', 'blue', 'fruit', 'lush', 'finegrained_tannin']"
24297,24297,US,"What's so likeable about this Pinot is its dryness, silkiness and elegance. It shows a cool-climate structure, with a bite of acidity and fine tannins, and tantalizing flavors of raspberries, cherries, cola and minerals. Should develop in the bottle over the next six years.",Morning Dew Ranch,California,Anderson Valley,Mendocino/Lake Counties,Pinot Noir,Brogan,,"['dry', 'silky', 'elegant', 'bite', 'raspberry', 'cherry', 'cola', 'minerality']"
243392,92457,US,"This Merlot is not a flamboyant fruit monster, but quietly controlled with firm tannins and a hint of mushrooms accenting cherries and cola. Drink it now and through 2017.",,California,Napa Valley,Napa,Merlot,Clos du Val,Clos du Val 2010 Merlot (Napa Valley),"['fruit', 'firm', 'mushroom', 'cherry', 'cola']"
31515,31515,Italy,"Classically structured, this still needs to open up but already offers aromas of dark berry, menthol, toast, dried herbs and a whiff of cocoa. The firm palate delivers red cherry, raspberry, mocha, tobacco and licorice accompanied by bracing tannins and fresh acidity.",Scarrone Vigna Mandorlo,Piedmont,Barolo,,Nebbiolo,Giacosa Fratelli,,"['dark', 'berry', 'menthol', 'toast', 'dry', 'herb', 'cocoa', 'firm', 'cherry', 'raspberry', 'coffee', 'tobacco', 'licorice', 'fresh']"
215396,64461,France,Tart red berries like red currant and strawberry dominate the nose. They also play on the palate where frothy lively fizz foams and disperses the flavors across the light dry palate. This is vivacious and very refreshing.,Brut Rosé,Alsace,Crémant d'Alsace,,Sparkling Blend,Willm,Willm NV Brut Rosé Sparkling (Crémant d'Alsace),"['tart', 'berry', 'red_currant', 'strawberry', 'frothy', 'fizz', 'foamy', 'light_bodied', 'dry', 'refreshing']"
216279,65344,US,"This is quite dry, as the label indicates, and nicely scented with light floral notes. Citrus fruit flavors run through an elegant, textured wine that definitely wants food to go with. Best Buy. —P.G.",Dry,Idaho,Idaho,,Gewürztraminer,Ste. Chapelle,Ste. Chapelle 2001 Dry Gewürztraminer (Idaho),"['dry', 'light_bodied', 'flower', 'citrus', 'fruit', 'elegant']"
8839,8839,France,"The name comes from the fact that this vineyard was once a truffle bed, high up the slope of Puligny-Montrachet. The wine shows wood, attractive fruitiness and layers of spice and almonds. It is rounded, the soft texture balanced by acidity. Drink from 2016.",Les Truffières Premier Cru,Burgundy,Puligny-Montrachet,,Chardonnay,Louis Latour,,"['truffle', 'wood', 'fruit', 'spice', 'almond', 'round', 'soft']"
