ID,NAME,TYPE,COUNTRY,REGION,GRAPES,BODY,ACIDITY,PRICE,VINTAGE,DESCRIPTION,URL,IMAGE_URL
3921,"Paul Hobbs, Crossbarn Cabernet Sauvignon, Napa Valley, USA",Red Wine,United States of America,California,Cabernet Sauvignon ,4,2,49.95,2018,"Capturing the diversity and complexity from the region, this displays a dark ruby hue with aromas of crushed violets, graphite, and blueberry. A burst of licorice and boysenberry are revealed on the palate carried along by bright savory spices and mineral notes that persist throughout. Polished tannins kick in giving the wine a soft texture along with a lively acidity that gives the wine a clean, extended finish.",,https://www.alliancewine.com//images/products/BOTTLE_8127.png?mode=pad
3920,"Paul Hobbs, Crossbarn Cabernet Sauvignon, Napa Valley, USA",Red Wine,United States of America,California,Cabernet Sauvignon ,4,2,49.95,2017,"Capturing the diversity and complexity from the region, this displays a dark ruby hue with aromas of crushed violets, graphite, and blueberry. A burst of licorice and boysenberry are revealed on the palate carried along by bright savory spices and mineral notes that persist throughout. Polished tannins kick in giving the wine a soft texture along with a lively acidity that gives the wine a clean, extended finish.",,https://www.alliancewine.com//images/products/BOTTLE_8127.png?mode=pad
3919,"Yacoubian Hobbs, Sarpina, Rind, Vayots Dzor, Armenia",Red Wine,Armenia,Vayots Dzor,Areni ,0,0,49.95,2016,"A complex wine with intense aromatics of ripe red cherries, black plum and dried flowers, followed by nuances of vanilla, cinnamon and chocolate. On the palate, the elegant flavors coupled with velvety tannins create a full, round mouthfeel with a complexity and intensity that lingers on the finish.",,-
3918,"Domaine Pillot, Volnay, Burgundy, France",Red Wine,France,Burgundy,Pinot Noir ,0,0,48.95,2018,"Overt and ripe fruit dominate the nose with darker red berries and hints of fresh herbs. On the palate the wine is soft, juicy and mouthwatering with excellent varietal character and deftly laced with oak. This wine is beautiful drunk young but has the potential to develop further in the bottle.  An excellent glass of classic Burgundy.",,https://www.alliancewine.com//images/products/BOTTLE_1370.png?mode=pad
3917,"Domaine des Baumard, Savennières Trie Speciale, Loire, France",White Wine,France,Loire,Chenin Blanc ,4,4,48.95,2014,"Made from only the ripest berries, the nose offers a very attractive minerality with ripe and fresh citrus fruits to the fore. There is a tremendous weight and concentration to this wine, dense and oily but backed up with tingling, linear acidity.  This is wine full of paradox, honeyed and yet dry, rounded and yet firm. The rich fruit spice and minerality on the palate ensure a thoroughly memorable experience.",,https://www.alliancewine.com//images/products/BOTTLE_1156.png?mode=pad
3916,"Alemany i Corrió, Principia Mathematica, DO Penedès, Spain (150cl.)",White Wine,Spain,Penedès," Grenache Blanc , Xarel-lo ",0,0,48.95,2018,"Crisp white fruit and apricot nose with a light nutty element and a Meursault-esque butteriness. The aromas open up and become richer but still perfectly balanced. Dry, soft but fresh acidity. A lovely depth of mineral laced, grassy white fruit with hints of apricot and nuts. ",,https://www.alliancewine.com//images/products/BOTTLE_3181.png?mode=pad
3915,"Dominio de Cair, Tierras de Cair, DO Ribera del Duero, Spain",Red Wine,Spain,Ribera Del Duero,Tempranillo ,4,2,47.95,2012,"Black cherry with violet hues around the rim. Very good depth of colour. The nose is intense, with a good balance between fruit and wood, with touches of fine wood, leather and black chocolate. Compoted black fruits and spices: vanilla, cloves and liquorice. Pleasant dairy nuances also appear. Its taste is ample, complex and powerful, with a good balance. Roasted and spicy tones also appear, well assembled with the ripe fruit. Silky smooth mouth feel with sweet tannins and a very long, lingering finish.",,https://www.alliancewine.com//images/products/BOTTLE_1145.png?mode=pad
3914,"Domaine Pillot, Pommard, Tavannnes, Burgundy, France",Red Wine,France,Burgundy,Pinot Noir ,0,0,47.95,2018,"Wines from Pommard are often hard and virile; not so with the Pommard 'Tavannes' which offers substantial body and a round mouthfeel, with cherry, blackberry and spice aromas which echo on the palate, supported by fine, slightly dry tannins. This wine has fine structure giving it excellent cellaring potential, but why wait?",,https://www.alliancewine.com//images/products/BOTTLE_2282.png?mode=pad
3913,"Domaine Pillot, Pommard, Tavannnes, Burgundy, France",Red Wine,France,Burgundy,Pinot Noir ,0,0,47.95,2017,"Wines from Pommard are often hard and virile; not so with the Pommard 'Tavannes' which offers substantial body and a round mouthfeel, with cherry, blackberry and spice aromas which echo on the palate, supported by fine, slightly dry tannins. This wine has fine structure giving it excellent cellaring potential, but why wait?",,https://www.alliancewine.com//images/products/BOTTLE_2282.png?mode=pad
3912,"Bodegas Bernabeleva, Viña Bonita, DO Madrid, Spain",Red Wine,Spain,Sierra de Gredos,Garnacha ,4,3,47.95,2017,"Garnet colour with pale red rim, ripe black fruit and liquorice. Strong saline and mineral notes, firm tannins that are evolving. A big wine with genuine terroir expression lifted by the granite minerality.",,https://www.alliancewine.com//images/products/BOTTLE_3405.png?mode=pad
