,0
wine,177973
flavor,156421
fruit,127581
finish,85879
acid,79412
aroma,78078
cherri,69571
palat,66168
tannin,64979
ripe,57397
dri,52401
rich,50193
black,50046
note,49600
spice,48585
fresh,44377
show,40837
sweet,40585
red,38759
soft,34692
oak,34519
blackberri,34258
drink,34117
berri,33508
nose,32631
offer,30528
plum,30483
balanc,30451
crisp,28819
textur,28702
light,28292
appl,26660
good,26611
veri,26422
structur,25898
age,24608
blend,23670
dark,23418
raspberri,23069
miner,22651
white,22506
bright,22167
hint,22154
vanilla,22059
fruiti,21906
give,21765
well,21499
touch,21469
citrus,21447
firm,20384
complex,19853
green,19819
peach,19405
feel,18559
juici,18066
currant,17884
concentr,17836
eleg,17530
herb,17512
chocol,17364
smooth,17245
mouth,17127
charact,17033
pepper,16890
spici,16259
intens,16114
open,15768
full,15764
like,15459
fine,15456
pear,15378
tast,15298
bit,14640
year,14616
tannic,14401
clean,14370
make,14291
tart,14020
also,14003
round,13869
nice,13695
slight,13625
long,13387
bottl,13147
toast,13123
herbal,13106
creami,13047
wood,12981
delici,12656
power,12651
merlot,12564
mouthfeel,12068
dens,11931
layer,11751
licoric,11668
style,11664
come,11632
syrah,11551
tight,11419
one,11283
cola,11279
chardonnay,11277
honey,11172
made,11096
great,11026
littl,11007
earthi,10965
cassi,10718
leather,10677
pineappl,10428
smoki,10405
tobacco,10010
vineyard,9970
along,9928
still,9836
fullbodi,9824
yet,9708
bake,9634
cabernet_sauvignon,9563
simpl,9562
solid,9474
grape,9418
accent,9372
lead,9360
apricot,9263
deliv,9258
seem,9123
big,9003
savori,8793
live,8736
pretti,8690
almost,8669
lemon,8518
edg,8488
melon,8473
strawberri,8437
easi,8348
attract,8050
best,8043
tropic,7988
floral,7949
mix,7904
beauti,7896
lime,7890
scent,7884
refresh,7761
plenti,7745
candi,7726
follow,7711
cabernet,7704
coffe,7675
suggest,7651
vintag,7627
pinot_noir,7572
tone,7531
impress,7451
strong,7440
bitter,7392
silki,7384
quit,7363
domin,7278
linger,7241
core,7219
toasti,7142
lot,7046
young,7026
blueberri,7019
new,6944
produc,6932
much,6907
jammi,6839
close,6837
aromat,6731
back,6730
readi_drink,6678
delic,6676
lush,6663
cedar,6610
smoke,6599
matur,6581
grapefruit,6552
alongsid,6527
generous,6473
perfum,6446
bring,6441
add,6401
thick,6387
end,6332
caramel,6310
yellow,6288
weight,6279
enough,6250
cinnamon,6244
mocha,6151
tangi,6112
color,6097
although,6084
qualiti,6047
pair,5962
earth,5937
time,5935
pure,5908
oaki,5898
need,5825
clove,5809
stone,5766
warm,5707
orang,5662
love,5657
deep,5641
exot,5629
hard,5610
sharp,5601
bouquet,5557
heavi,5529
dusti,5507
express,5496
zesti,5488
polish,5462
pepperi,5347
start,5271
jam,5240
cranberri,5238
barrel,5228
pinot,5210
even,5170
nt,5150
lean,5124
pleasant,5066
enjoy,4977
element,4969
vibrant,4942
aftertast,4942
develop,4928
keep,4893
forward,4850
depth,4819
go,4807
wineri,4798
cellar,4794
pack,4777
chewi,4773
mint,4768
way,4760
side,4729
mediumbodi,4723
sour,4718
rather,4710
subtl,4701
bold,4673
wild,4663
frame,4641
mark,4621
sauvignon_blanc,4604
combin,4560
carri,4558
right,4536
import,4530
price,4466
interest,4452
suppl,4433
integr,4379
doe,4369
appeal,4367
high,4363
classic,4363
mild,4352
varieti,4311
overal,4298
onli,4260
malbec,4260
velveti,4237
first,4219
turn,4204
provid,4183
riesl,4167
brisk,4157
lift,4152
cabernet_franc,4121
get,4109
anis,4102
smell,4093
cut,4067
bodi,4061
focus,4041
whiff,3995
doe_nt,3968
perfect,3965
tangerin,3964
load,3961
could,3890
nuanc,3881
rustic,3875
opul,3874
crush,3861
cab,3857
astring,3847
espresso,3839
violet,3826
food,3808
almond,3806
flower,3800
extract,3800
streak,3774
skin,3768
includ,3686
rosé,3685
despit,3649
fragrant,3601
roast,3579
oliv,3549
lack,3545
support,3542
hold,3517
alcohol,3510
full_bodi,3496
though,3469
take,3447
approach,3408
realli,3376
leav,3375
excel,3356
featur,3353
plump,3344
prune,3333
sangioves,3315
wild_berri,3312
cocoa,3289
glass,3269
natur,3225
fair,3209
juic,3204
tea,3173
alreadi,3170
estat,3149
citrusi,3116
raisin,3103
nectarin,3081
boast,3074
chunki,3049
gentl,3039
wonder,2994
last,2960
length,2955
raci,2935
certain,2930
somewhat,2904
midpal,2902
petit_verdot,2900
char,2897
lend,2889
plush,2887
short,2858
meati,2853
fig,2844
soften,2809
find,2785
befor,2758
hot,2752
top,2740
result,2710
honeysuckl,2708
pie,2706
moder,2702
thin,2698
straightforward,2697
better,2682
play,2675
wrap,2675
fill,2669
persist,2661
youth,2643
set,2641
remain,2633
brambl,2621
basic,2617
densiti,2597
raw,2595
mani,2595
blossom,2593
burst,2587
butter_toast,2581
distinct,2581
zinfandel,2576
zin,2569
luscious,2553
final,2543
viognier,2533
fleshi,2517
ad,2510
may,2506
serious,2498
sens,2482
medium,2471
highlight,2465
surpris,2456
refin,2450
lemoni,2440
tough,2435
sourc,2411
variet,2405
drink_2018,2399
california,2383
winemak,2341
grip,2340
tasti,2333
definit,2333
succul,2331
broad,2316
modest,2306
steeli,2289
sip,2284
name,2265
two,2262
minti,2249
cool,2247
typic,2243
heat,2229
ampl,2225
present,2207
leatheri,2207
need_time,2200
auster,2197
coconut,2188
extra,2187
tri,2186
display,2183
satisfi,2176
petit_sirah,2173
mouthwat,2161
appear,2140
reveal,2139
effort,2135
sophist,2132
medium_bodi,2126
graphit,2116
robust,2113
promis,2107
without,2107
sandalwood,2106
potenti,2100
front,2096
menthol,2090
intrigu,2089
butteri,2076
sage,2059
taut,2058
boysenberri,2057
white_flower,2050
mango,2045
appel,2041
butter,2038
run,2036
grenach,2033
would,2028
point,2027
10,2023
screwcap,2022
banana,2022
bite,2013
decad,2010
unusu,2005
drink_2017,2000
region,1990
profil,1983
around,1980
pomegran,1979
rubberi,1977
invit,1973
chalki,1970
mushroom,1967
chard,1963
work,1960
extrem,1960
creat,1960
less,1952
pleas,1947
gorgeous,1944
easygo,1942
100,1941
drinkabl,1931
background,1921
bacon,1920
addit,1915
base,1913
