,descriptors
0,almond
1,anise
2,apple
3,apple_blossom
4,apple_pie
5,apple_sauce
6,apricot
7,asparagus
8,baked_apple
9,baked_bread
10,balsamic
11,banana
12,basil
13,beetroot
14,berry
15,black_cherry
16,black_cherry
17,black_currant
18,black_fruit
19,black_pepper
20,blackberry_jam
21,black_tea
22,blackcurrant
23,blood_orange
24,blossom
25,blueberry
26,blueberry_pie
27,caramel
28,cashew
29,chamomile
30,cherry
31,cherry_pie
32,chocolate
33,cinnamon
34,citrus
35,citrus_peel
36,clove
37,clove_cinnamon
38,cocoa
39,coconut
40,coffee
41,cola
42,cookie
43,cranberry
44,cranberry_pomegranate
45,cucumber
46,currant
47,dark_berry
48,dark_chocolate
49,elderflower
50,ginger
51,grapefruit
52,grapefruit_peel
53,hazelnut
54,honeydew
55,jam
56,jasmine
57,kiwi
58,lemon
59,lemon_blossom
60,lemon_meringue
61,lemon_peel
62,lemongrass
63,lime
64,lime_peel
65,lychee
66,mandarin
67,mango
68,marmalade
69,melon
70,mint
71,mulberry
72,mushroom
73,nectar
74,nectarine
75,nut
76,nutmeg
77,oak
78,olive
79,orange
80,orange_blossom
81,orange_marmalade
82,orange_peel
83,oregano
84,papaya
85,passion_fruit
86,peach
87,peanut
88,pear
89,pepper
90,pine
91,pineapple
92,plum
93,pomegranate
94,popcorn
95,prune
96,raisin
97,raspberry
98,red_berry
99,red_currant
100,red_fruit
101,rhubarb
102,rose
103,rosemary
104,rosewater
105,sage
106,smoke
107,spearmint
108,spice
109,strawberry
110,tangerine
111,tangerine_peel
112,thyme
113,toasted_almond
114,toasted_coconut
115,toasted_hazelnut
116,toasted_nut
117,tomato
118,tropical_fruit
119,vanilla
120,velvety
121,violet
122,walnut
123,watermelon
124,wood
